nome_regiao;situacao;renda_familiar;tipo_morada;sexo;idade ;consome_frutas_frequentemente ;consome_alimentos_ultraprocessados ;refeicao_escola_creche ;morador_alim_acabassem;morador_alim_acabaram;morador_saudavel;morador_insuficiente;adulto_saltou_refeicao;adulto_comeu_menos;adulto_sentiu_fome;adulto_sem_comer;menor18_saudavel;menor18_insuficiente;menor_18_sentiu_fome;menor_18_sem_comer;local_mais_frequente ;matriculado
Norte;Urbano;1000;Apartamento;Masculino;1;as vezes;Sempre;false;true;false;true;true;false;false;false;false;false;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;1000;Apartamento;Feminino;4;as vezes;Sempre;true;true;false;true;true;false;false;false;false;false;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;true
Norte;Urbano;2000;Casa;Feminino;2;as vezes;Quase sempre;true;true;true;true;true;false;false;false;false;true;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;2000;Casa;Masculino;4;as vezes;Quase sempre;true;true;true;true;true;false;false;false;false;true;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;true
Norte;Urbano;2000;Casa;Feminino;0;as vezes;Raramente;false;true;false;true;true;false;false;false;false;false;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;2000;Casa;Masculino;0;as vezes;Raramente;false;true;true;true;true;false;false;false;false;true;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;2000;Casa;Masculino;3;quase sempre;Sempre;true;true;true;true;true;false;true;false;false;false;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;2000;Casa;Feminino;4;sempre;As vezes;true;false;false;false;false;false;false;false;false;false;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;true
Norte;Urbano;2000;Casa;Masculino;1;as vezes;Raramente;false;true;true;true;true;false;false;false;false;true;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;1000;-;Feminino;0;quase sempre;Nunca;true;false;false;false;false;false;false;false;false;false;false;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;false
Norte;Urbano;1000;Casa;Feminino;4;quase sempre;Quase sempre;true;true;true;false;true;true;false;false;false;false;true;false;false;Centro de Especialidades, Policlinica publica ou PAM – Posto de Assistencia Medica;true
