nome_regiao;valor_pib;participacao_regiao_brasil;impostos_totais;participacao_regiao_impostos;total_vab;participacao_agro;participacao_industria;participacao_servicos
Brasil;7389,131;100;1032,447;100;6356,684;4,89;21,8;55,91
Norte;420,424;5,69;46,954;4,55;373,47;8,8;27,62;37,86
Nordeste;1047,766;14,18;130,746;12,66;917,02;6,53;18,47;49,14
Sudeste;3917,484;53,02;594,842;57,61;3322,643;2,01;22,63;62,25
Sul;1272,105;17,22;178,437;17,28;1093,668;7,85;24,83;53,16
Centro-Oeste;731,351;9,9;81,468;7,89;649,883;10,08;13,8;48,06
Rondonia;47,091;0,64;5,054;0,49;42,037;13,92;16,5;41,59
Acre;15,63;0,21;1,691;0,16;13,939;7,5;7,16;44,64
Amazonas;108,181;1,46;17,456;1,69;90,725;5,48;36,35;37,03
Roraima;14,292;0,19;1,296;0,13;12,997;5,52;7,77;39,06
Para;178,377;2,41;16,468;1,6;161,909;9,23;34,26;35,22
Amapa;17,497;0,24;1,172;0,11;16,324;1,91;9,34;40,88
Tocantins;39,356;0,53;3,818;0,37;35,538;14,17;11,85;43,17
Maranhao;97,34;1,32;13,051;1,26;84,289;8,69;17,28;44,74
Piaui;52,781;0,71;5,648;0,55;47,133;8,01;12,26;45,52
Ceara;163,575;2,21;20,447;1,98;143,128;5,14;17,05;53,82
Rio Grande do Norte;71,337;0,97;7,47;0,72;63,867;4,22;18,4;47,71
Paraiba;67,986;0,92;7,709;0,75;60,277;3,64;15,36;47,87
Pernambuco;197,853;2,68;28,9;2,8;168,953;4,47;19,74;50,83
Alagoas;58,964;0,8;5,931;0,57;53,032;17,84;12,09;44,74
Sergipe;44,689;0,6;4,818;0,47;39,871;5,11;19,72;45,5
Bahia;293,241;3,97;36,772;3,56;256,469;6,82;21,84;49,67
Minas Gerais;651,873;8,82;80,408;7,79;571,465;4,62;27,09;51,43
Espirito Santo;137,346;1,86;22,533;2,18;114,813;3,62;26,55;53,33
Rio de Janeiro;779,928;10,56;118,874;11,51;661,054;0,46;25,08;54,21
Sao Paulo;2348,338;31,78;373,028;36,13;1975,31;1,67;20,29;68,59
Parana;466,377;6,31;60,748;5,88;405,629;8,47;26,08;51,89
Santa Catarina;323,264;4,37;55,373;5,36;267,891;5,68;26,57;53,69
Rio Grande do Sul;482,464;6,53;62,316;6,04;420,148;8,63;22,53;54,05
Mato Grosso do Sul;106,943;1,45;11,802;1,14;95,141;17,1;21,53;40,8
Mato Grosso;142,122;1,92;15,504;1,5;126,618;21,36;16,26;45
Goias;208,672;2,82;23,476;2,27;185,197;11,43;21,15;49,29
Distrito Federal;273,614;3,7;30,687;2,97;242,927;0,41;3,89;51,56
